,PDB,SP
4526,1PT6,P56199
4527,1PTQ,P28867
4528,1PU4,Q16853
4529,1PUC,P08463
4530,1PUE,P17433
4531,1PUF,P09631
4532,1PUG,P0A8B5
4533,1PUI,P0A6P7
4534,1PUJ,O31743
4535,1PUO,P30438
4536,1PV1,P40363
4537,1PV5,P96719
4538,1PV6,P02920
4539,1PV9,P81535
4540,1PVA,P02628
4541,1PVD,P06169
4542,1PVW,Q60364
4543,1PVX,P81536
4544,1PW4,P08194
4545,1PWA,O95750
4546,1PWE,P09367
4547,1PX5,Q29599
4548,1PX8,P36906
4549,1PXV,P0C1S6
4550,1PXW,P62008
4551,1PXY,Q7G188
4552,1PXZ,P81294
4553,1PY9,Q61885
4554,1PYF,P46336
4555,1PYI,P07272
4556,1PYO,P42575
4557,1PYY,P59676
4558,1PZ1,P80874
4559,1PZ2,Q9XBQ3
4560,1PZD,P53620
4561,1PZL,P41235
4562,1PZN,O74036
4563,1PZS,P9WGE9
4564,1PZV,P34477
4565,1PZW,Q9U405
4566,1Q05,P0A9G4
4567,1Q08,P0ACS5
4568,1Q0D,P80734
4569,1Q0R,Q54528
4570,1Q0S,P04392
4571,1Q0X,P01723
4572,1Q12,P68187
4573,1Q13,P80508
4574,1Q14,P53686
4575,1Q15,Q9XB61
4576,1Q16,P09152
4577,1Q18,P0A6V9
4578,1Q1A,P02309
4579,1Q1F,Q9ER97
4580,1Q1H,Q980M5
4581,1Q1L,O66493
4582,1Q1Q,O00204
4583,1Q1R,P16640
4584,1Q1U,P61328
4585,1Q24,Q71U53
4586,1Q25,P08169
4587,1Q2H,O14492
4588,1Q2L,P05458
4589,1Q2V,P61112
4590,1Q2W,P0C6X7
4591,1Q2Y,O31628
4592,1Q32,P38319
4593,1Q33,Q9BW91
4594,1Q34,P52478
4595,1Q3A,P09238
4596,1Q3E,O88703
4597,1Q3H,P26361
4598,1Q3I,D2WKD8
4599,1Q3O,Q9WV48
4600,1Q3X,O00187
4601,1Q40,P84149
4602,1Q42,P84148
4603,1Q44,P52839
4604,1Q45,Q9FUP0
4605,1Q46,P20459
4606,1Q47,O08665
4607,1Q4K,P53350
4608,1Q4R,Q9LUV2
4609,1Q4S,Q04416
4610,1Q50,P42861
4611,1Q51,P9WNP5
4612,1Q5H,P33316
4613,1Q5N,Q59092
4614,1Q5Q,Q53080
4615,1Q5T,P04084
4616,1Q5V,P0A6Z6
4617,1Q5X,P0A8R0
4618,1Q5Z,P0CL52
4619,1Q67,Q12517
4620,1Q6H,P45523
4621,1Q6X,P32738
4622,1Q74,P9WJN3
4623,1Q77,O66565
4624,1Q7D,P02452
4625,1Q7F,Q8MQJ9
4626,1Q7L,Q03154
4627,1Q7R,P83813
4628,1Q7S,Q9Y3E5
4629,1Q8B,O31641
4630,1Q8C,P47273
4631,1Q8D,Q62997
4632,1Q8F,P33022
4633,1Q8H,Q8HYY9
4634,1Q8I,P21189
4635,1Q8M,Q9NP99
4636,1Q8R,P0AG74
4637,1Q90,Q00471
4638,1Q98,Q57549
4639,1Q9B,P02877
4640,1Q9J,P9WIN5
4641,1QAD,P23727
4642,1QAH,P52759
4643,1QAM,P13956
4644,1QAP,P30012
4645,1QAX,P13702
4646,1QB2,P61011
4647,1QB3,P20486
4648,1QB5,P43529
4649,1QBE,P03615
4650,1QBJ,P55265
4651,1QC6,P70429
4652,1QCQ,P15731
4653,1QCX,Q00205
4654,1QD1,P53603
4655,1QD9,P37552
4656,1QDB,Q9Z4P4
4657,1QDL,Q06128
4658,1QDM,P42210
4659,1QE0,P60911
4660,1QEZ,P50308
4661,1QF8,P67870
4662,1QF9,P20425
4663,1QFC,P29288
4664,1QFH,P13466
4665,1QFJ,P0AEN1
4666,1QFT,O77421
4667,1QFX,P34755
4668,1QFY,P10933
4669,1QG3,P16144
4670,1QGD,P27302
4671,1QGH,P80725
4672,1QGI,P33673
4673,1QGJ,Q39034
4674,1QGK,P52292
4675,1QGO,Q05592
4676,1QGV,P83876
4677,1QGW,P30943
4678,1QH3,Q16775
4679,1QH4,P05122
4680,1QHB,Q8LLW7
4681,1QHD,P04509
4682,1QHL,P22523
4683,1QHO,P19531
4684,1QHT,Q56366
4685,1QHV,P03275
4686,1QI7,P20656
4687,1QI9,P81701
4688,1QJ4,P52704
4689,1QJ8,P0A917
4690,1QJV,P0C1A8
4691,1QK1,P12532
4692,1QKD,P60775
4693,1QKI,P11413
4694,1QKR,P12003
4695,1QKZ,P57041
4696,1QL3,P54820
4697,1QLL,P82287
4698,1QLM,P94954
4699,1QMG,Q01292
4700,1QMH,P46849
4701,1QMJ,P23668
4702,1QMO,Q9ZTA9
4703,1QMV,P32119
4704,1QMY,P03305
4705,1QN3,P28147
4706,1QNN,P19665
4707,1QNO,Q99036
4708,1QNW,P22973
4709,1QNX,Q05110
4710,1QO2,Q9X0C7
4711,1QO5,P05062
4712,1QO8,Q9Z4P0
4713,1QOJ,P0A8F8
4714,1QOR,P28304
4715,1QOU,Q41261
4716,1QOW,P43683
4717,1QOX,Q03506
4718,1QOY,P77335
4719,1QOZ,Q99034
4720,1QPA,P11542
4721,1QPN,P9WJJ7
4722,1QPW,P01965
4723,1QQ0,P40881
4724,1QQ2,Q63716
4725,1QQE,P32602
4726,1QQF,P01026
4727,1QQG,P35568
4728,1QQK,Q02195
4729,1QQR,P00779
4730,1QR0,P39135
4731,1QR2,P16083
4732,1QR4,P10039
4733,1QRD,P05982
4734,1QRV,Q05783
4735,1QS0,P09060
4736,1QS7,P11799
4737,1QSA,P0AGC3
4738,1QSD,P48606
4739,1QSM,Q06592
4740,1QTR,O32449
4741,1QTW,P0A6C1
4742,1QU7,P02942
4743,1QU9,P0AF93
4744,1QUA,P60244
4745,1QUQ,P15927
4746,1QV9,P94951
4747,1QVE,P17838
4748,1QVR,Q9RA63
4749,1QVV,Q04432
4750,1QWD,P0A901
4751,1QWG,Q57703
4752,1QWJ,Q99KK2
4753,1QWL,P77872
4754,1QWO,O00092
4755,1QWR,P39841
4756,1QWY,O33599
4757,1QWZ,Q2FZE3
4758,1QXH,P0A862
4759,1QXJ,P83194
4760,1QXM,P0DPR0
4761,1QXO,P0A2Y6
4762,1QXW,P0A078
4763,1QY0,P11588
4764,1QY6,Q99V45
4765,1QY7,P0A3F4
4766,1QY8,P41148
4767,1QY9,P37757
4768,1QYC,Q9LL41
4769,1QYD,Q9LD14
4770,1QYM,O75832
4771,1QYN,P0AG86
4772,1QYR,P06992
4773,1QZ4,P25746
4774,1QZ7,Q9YGY0
4775,1QZ9,P83788
4776,1QZC,Q5SHN3
4777,1QZG,O13988
4778,1QZM,P0A9M0
4779,1QZT,P38503
4780,1QZU,Q96CD2
4781,1QZW,Q97ZE7
4782,1QZZ,Q54527
4783,1R03,Q8N4E7
4784,1R0D,O75146
4785,1R0K,Q9X5F2
4786,1R0M,Q9RYA6
4787,1R0N,P34021
4788,1R0P,P08581
4789,1R0U,O07624
4790,1R0V,O29362
4791,1R13,P08427
4792,1R17,Q9KI13
4793,1R18,Q27869
4794,1R1A,P23008
4795,1R1D,Q06174
4796,1R1G,P83407
4797,1R1K,O18473
4798,1R1M,P0A0V3
4799,1R1N,P17259
4800,1R1R,P00452
4801,1R1T,P30340
4802,1R28,P41182
4803,1R2F,P17424
4804,1R2M,P79073
4805,1R2R,P00939
4806,1R30,P12996
4807,1R3E,Q9WZW0
4808,1R42,Q9BYF1
4809,1R44,Q06241
4810,1R45,Q00901
4811,1R46,P06280
4812,1R4A,P61212
4813,1R4P,P09385
4814,1R4S,Q00511
4815,1R4V,O66665
4816,1R4W,P24473
4817,1R4X,Q9Y678
4818,1R52,P28777
4819,1R54,Q9BZ11
4820,1R59,O34153
4821,1R5B,O74718
4822,1R5M,P38262
4823,1R5P,Q8YT41
4824,1R5Q,Q8YT42
4825,1R5T,Q06549
4826,1R5Z,P74902
4827,1R62,P0AFB5
4828,1R6F,P0C7U7
4829,1R6K,P04015
4830,1R6L,P50597
4831,1R6V,Q93LQ6
4832,1R6Y,P0ADU2
4833,1R6Z,Q9VUQ5
4834,1R74,Q14749
4835,1R77,O05156
4836,1R7A,A0ZZH6
4837,1R7M,P03882
4838,1R88,P9WQN7
4839,1R89,O28126
4840,1R8G,P77213
4841,1R8H,Q84294
4842,1R8J,Q79PF6
4843,1R8K,P58717
4844,1R8L,Q65CX5
4845,1R8N,P83667
4846,1R8Q,P84080
4847,1R8X,Q9QXF8
4848,1R94,P0AAC8
4849,1R9C,Q98GG1
4850,1R9F,P11690
4851,1R9G,P37528
4852,1R9L,P0AFM2
4853,1R9W,P06789
4854,1RA4,P54066
4855,1RB9,P00269
4856,1RBA,P04718
4857,1RBL,P00880
4858,1RC2,P60844
4859,1RC6,P75713
4860,1RC9,P60623
4861,1RCC,P07797
4862,1RCQ,Q9HTQ2
4863,1RCW,O84616
4864,1RD5,P42390
4865,1RD8,Q9WFX3
4866,1RDG,P00270
4867,1RDS,P00653
4868,1RDT,Q92793
4869,1RDV,P15412
4870,1REG,P69702
4871,1REO,Q6STF1
4872,1REP,P03856
4873,1RF3,P36941
4874,1RF4,Q9S400
4875,1RFJ,Q7DMN9
4876,1RFK,P00248
4877,1RFS,P08980
4878,1RFX,Q99P87
4879,1RFY,Q57471
4880,1RGY,P05193
4881,1RH1,P05819
4882,1RH2,P01563
4883,1RH5,Q57817
4884,1RH6,P03699
4885,1RH7,Q99P86
4886,1RH9,Q8L5J1
4887,1RHF,Q06418
4888,1RHG,P09919
4889,1RHI,Q82081
4890,1RHY,P0CO22
4891,1RI1,Q8SR66
4892,1RI6,P52697
4893,1RI7,O59188
4894,1RIE,P13272
4895,1RIF,P20703
4896,1RII,P9WIC9
4897,1RIL,P29253
4898,1RIQ,O67323
4899,1RJ5,Q9WVT6
4900,1RJ7,Q92838
4901,1RJB,P36888
4902,1RJD,Q04081
4903,1RJK,Q15648
4904,1RJU,P0CX80
4905,1RJW,P42328
4906,1RKB,Q9Y3D8
4907,1RKE,P18206
4908,1RKP,O76074
4909,1RKQ,P0A8Y5
4910,1RKR,P56547
4911,1RKT,O31560
4912,1RKU,Q9I2Y2
4913,1RL2,P04257
4914,1RL6,P02391
4915,1RLG,O29494
4916,1RLI,P96726
4917,1RLJ,P50618
4918,1RLK,Q9HLW6
4919,1RLM,P75792
4920,1RLU,P9WN95
4921,1RM6,O33819
4922,1RM8,P51512
4923,1RMD,P15919
4924,1RMG,Q00001
4925,1RMR,P83658
4926,1RMV,P03580
4927,1RN7,P28325
4928,1RNF,P34096
4929,1RO5,P33883
4930,1ROC,P32447
4931,1ROW,O01829
4932,1RP0,Q38814
4933,1RP1,P06857
4934,1RP4,Q03103
4935,1RPA,P20646
4936,1RPM,P28827
4937,1RPN,Q51366
4938,1RPU,Q66104
4939,1RPX,Q43843
4940,1RPY,Q9Z200
4941,1RQ0,Q9X183
4942,1RQB,Q70AC7
4943,1RQF,P28021
4944,1RQI,P22939
4945,1RQP,Q70GK9
4946,1RQX,Q00740
4947,1RR7,P23848
4948,1RRA,P00684
4949,1RRF,P84079
4950,1RRM,P0A9S1
4951,1RRQ,P83847
4952,1RRV,Q9AFC7
4953,1RSG,P50264
4954,1RSS,P17291
4955,1RSY,P21707
4956,1RT8,O59945
4957,1RTL,P26664
4958,1RTS,P45352
4959,1RTT,Q9I4D4
4960,1RTU,P00654
4961,1RTV,Q9HU21
4962,1RTX,P73925
4963,1RTY,O34899
4964,1RU0,Q9CZL5
4965,1RU4,P0C1A7
4966,1RU7,P03452
4967,1RUT,P70662
4968,1RUW,P36006
4969,1RUY,Q9WCD9
4970,1RV1,Q00987
4971,1RVV,P11998
4972,1RWI,P9WI79
4973,1RWR,P12255
4974,1RWT,P12333
4975,1RWZ,O29912
4976,1RX0,Q9UKU7
4977,1RXD,Q93096
4978,1RXQ,O31562
4979,1RXT,P30419
4980,1RXV,O29975
4981,1RXX,P13981
4982,1RY0,P42330
4983,1RY1,O62798
4984,1RY2,Q01574
4985,1RY9,P35530
4986,1RYA,P32056
4987,1RYB,Q9M5P4
4988,1RYL,P76483
4989,1RYQ,Q8U440
4990,1RYZ,P0A1F6
4991,1RZ4,Q9UBQ5
4992,1RZL,Q0IQK9
4993,1RZM,Q9WYH8
4994,1RZN,P39792
4995,1RZO,P06750
4996,1RZR,P46828
4997,1RZT,Q9UGP5
4998,1RZU,P0A3F3
4999,1RZY,P80912
5000,1S03,P0A7W7
5001,1S0H,P01959
5002,1S0P,P54654
5003,1S0U,Q58657
5004,1S14,P20083
5005,1S18,Q8WVQ1
5006,1S1E,Q9NZI2
5007,1S1F,Q9FCA6
5008,1S1G,Q9UK17
5009,1S1M,P0A7E5
5010,1S1Q,Q99816
5011,1S2B,P15369
5012,1S2J,Q9VYX7
5013,1S2M,P39517
5014,1S31,P50607
5015,1S35,P11277
5016,1S3G,P84139
5017,1S3I,P28037
5018,1S3J,O32181
5019,1S3L,Q58346
5020,1S3O,Q04837
5021,1S3S,O35987
5022,1S3Z,Q9R381
5023,1S48,P19711
5024,1S4B,P52888
5025,1S4D,P21631
5026,1S4E,Q9HHB6
5027,1S4I,O31851
5028,1S4N,P27809
5029,1S4Q,P9WKE9
5030,1S4U,Q02793
5031,1S4V,O65039
5032,1S4Y,P27040
5033,1S50,P42260
5034,1S57,O64903
5035,1S58,Q9PZT0
5036,1S5A,O31511
5037,1S5B,P01555
5038,1S5J,P26811
5039,1S5P,P75960
5040,1S5U,P0A8Z3
5041,1S66,P76129
5042,1S68,P32277
5043,1S6C,Q8R426
5044,1S70,Q90623
5045,1S7H,O34911
5046,1S7O,P67253
5047,1S7Z,P03775
5048,1S80,P43886
5049,1S8F,P24408
5050,1S8G,P49121
5051,1S8N,P9WGM3
5052,1S8O,P34913
5053,1S96,P60546
5054,1S9A,O67987
5055,1S9H,P03132
5056,1S9I,P36507
5057,1S9J,Q02750
5058,1S9P,P62509
5059,1S9U,Q8ZPK0
5060,1SA0,P63043
5061,1SA3,P11405
5062,1SAW,Q6P587
5063,1SAZ,Q9X278
5064,1SB2,P81397
5065,1SB7,Q57261
5066,1SBK,P77781
5067,1SBP,P02906
5068,1SBQ,P75430
5069,1SBZ,P69772
5070,1SC0,P45083
5071,1SCH,P22195
5072,1SCJ,P04189
5073,1SD4,P0A042
5074,1SDD,Q28107
5075,1SE8,Q9RY51
5076,1SED,O07517
5077,1SEI,P56209
5078,1SEM,P29355
5079,1SEN,O95881
5080,1SER,P34945
5081,1SEV,P19446
5082,1SEZ,O24164
5083,1SF2,P22256
5084,1SF8,P0A6Z3
5085,1SF9,O31576
5086,1SFE,P06134
5087,1SFI,Q4GWU5
5088,1SFJ,Q6GII7
5089,1SFK,P14335
5090,1SFP,P29392
5091,1SFR,P9WQP3
5092,1SFU,Q9DHS8
5093,1SG1,P01138
5094,1SG2,P0AEU7
5095,1SG4,P42126
5096,1SGC,P00776
5097,1SGF,P00756
5098,1SGJ,Q9RUZ0
5099,1SGM,P42105
5100,1SGV,P9WHP7
5101,1SH5,Q9QXS1
5102,1SHA,P09619
5103,1SHS,Q57733
5104,1SHT,P58335
5105,1SHW,O08543
5106,1SI2,Q9UL18
5107,1SIG,P00579
5108,1SIJ,Q46509
5109,1SIQ,Q92947
5110,1SIZ,P29603
5111,1SJ2,P9WIE5
5112,1SJ7,P26039
5113,1SJA,Q44244
5114,1SJI,P12637
5115,1SJJ,P05094
5116,1SJP,P9WPE7
5117,1SJW,Q9RN59
5118,1SJY,Q9RVK2
5119,1SK3,Q96LB9
5120,1SK7,G3XCZ8
5121,1SKN,P34707
5122,1SKO,Q9JHS3
5123,1SKR,P00581
5124,1SKV,P20215
5125,1SKY,P09219
5126,1SKZ,P15358
5127,1SL8,P07164
5128,1SLA,P11116
5129,1SLI,Q27701
5130,1SM2,Q08881
5131,1SMB,Q9H4G4
5132,1SML,P52700
5133,1SMP,P18958
5134,1SMR,P01015
5135,1SMS,P49723
5136,1SMX,P21513
5137,1SN4,P58328
5138,1SNB,P54135
5139,1SNT,Q9Y3R4
5140,1SNZ,Q96C23
5141,1SO2,Q13370
5142,1SO8,Q99714
5143,1SOF,P22759
5144,1SOR,Q6J8I9
5145,1SOT,P0AEE3
5146,1SOV,Q27797
5147,1SOX,P07850
5148,1SP9,P93836
5149,1SPG,P56250
5150,1SPH,P08877
5151,1SPI,P22418
5152,1SPJ,P06870
5153,1SPP,P35495
5154,1SPQ,P00940
5155,1SPS,P03079
5156,1SPV,P0A8D6
5157,1SQ1,Q9PM41
5158,1SQE,Q99X56
5159,1SQF,P36929
5160,1SQI,P32755
5161,1SQJ,Q8J0D2
5162,1SQL,Q9SF23
5163,1SQU,Q9X1V3
5164,1SQW,Q9Y221
5165,1SR0,Q6TMG6
5166,1SR4,O06522
5167,1SR8,O29535
5168,1SR9,P9WQB3
5169,1SRD,P07505
5170,1SRP,P07268
5171,1SRQ,P47736
5172,1SRS,P11831
5173,1SRV,P61491
5174,1ST0,Q96C86
5175,1ST3,P29599
5176,1ST9,P35160
5177,1STF,P04080
5178,1STM,Q86993
5179,1STZ,Q9WZV5
5180,1SU0,Q9A1G2
5181,1SU1,P67095
5182,1SU6,Q9F8A8
5183,1SUI,Q40313
5184,1SUL,P38424
5185,1SUM,Q9X256
5186,1SUR,P17854
5187,1SUU,O51396
5188,1SUW,O30297
5189,1SV0,Q01842
5190,1SV2,Q93LE9
5191,1SV6,P77608
5192,1SVA,P03087
5193,1SVC,P19838
5194,1SVD,O85040
5195,1SVF,P04849
5196,1SVY,P10733
5197,1SW6,P09959
5198,1SWX,Q9NZD2
5199,1SXV,P9WI55
5200,1SY7,Q9C168
5201,1SYQ,Q9Y490
5202,1SYR,Q7KQL8
5203,1SYX,O95400
5204,1SYY,O84835
5205,1SZ7,O43617
5206,1SZ9,P39081
5207,1SZH,P34704
5208,1SZI,Q9DBG5
5209,1SZM,P00517
5210,1SZP,P25454
5211,1SZQ,P77243
5212,1SZT,P04582
5213,1T00,P52230
5214,1T07,Q9HU36
5215,1T09,O75874
5216,1T0A,Q8EBR3
5217,1T0H,Q8VGC3
5218,1T0I,Q07923
5219,1T0J,Q13936
5220,1T0P,P32942
5221,1T0T,Q5KUD5
5222,1T0Z,O77091
5223,1T11,Q9KQS5
5224,1T16,P10384
5225,1T1V,Q91VW3
5226,1T27,P16446
5227,1T2A,O60547
5228,1T2B,Q8VQF6
5229,1T2K,P15336
5230,1T2L,Q14019
5231,1T2O,Q2FV99
5232,1T2Q,P01821
5233,1T34,P01161
5234,1T35,O06986
5235,1T3A,Q00496
5236,1T3B,P45111
5237,1T3D,P0A9D4
5238,1T3G,Q9NZN1
5239,1T3I,Q55793
5240,1T3J,Q811U4
5241,1T3L,P07293
5242,1T3N,Q9UNA4
5243,1T3S,P54288
5244,1T3T,P74881
5245,1T3U,Q9HTW3
5246,1T43,P0ACC1
5247,1T47,Q53586
5248,1T4A,P12049
5249,1T4G,O73948
5250,1T4O,Q02555
5251,1T4W,Q20646
5252,1T56,P9WMC1
5253,1T5A,P14618
5254,1T5B,P63462
5255,1T5C,Q02224
5256,1T5E,P52477
5257,1T5I,Q13838
5258,1T5J,Q58588
5259,1T5O,O29877
5260,1T64,Q9BY41
5261,1T6F,O75496
5262,1T6G,P55329
5263,1T6I,P80735
5264,1T6J,P11544
5265,1T6K,Q51792
5266,1T6L,P16790
5267,1T6M,P08954
5268,1T6O,Q77M43
5269,1T70,Q9RUV0
5270,1T71,P75429
5271,1T72,O67053
5272,1T73,O97775
5273,1T77,P50851
5274,1T7L,Q9X112
5275,1T7S,O44739
5276,1T7V,P25311
5277,1T8H,P84138
5278,1T8P,P07738
5279,1T8Q,P09394
5280,1T8R,P0AE12
5281,1T8T,Q9Y663
5282,1T90,P42412
5283,1T91,P51149
5284,1T92,P15746
5285,1T94,Q9UBT6
5286,1T98,P60293
5287,1T9H,O34530
5288,1T9K,Q9X013
5289,1T9Z,Q9GZU7
5290,1TA8,Q837V6
5291,1TA9,O13702
5292,1TAB,P01058
5293,1TAD,P04695
5294,1TAF,P49847
5295,1TAH,P0DUB8
5296,1TAZ,Q01064
5297,1TB3,Q07523
5298,1TBQ,Q06684
5299,1TBU,P41903
5300,1TBX,P20222
5301,1TC3,P34257
5302,1TC5,P84066
5303,1TC8,Q6SLM2
5304,1TCO,P63099
5305,1TD0,P36275
5306,1TD2,P77150
5307,1TD5,P16528
5308,1TD6,P75455
5309,1TD9,P39646
5310,1TDH,Q96FI4
5311,1TDI,Q16772
5312,1TDJ,P04968
5313,1TDQ,P07897
5314,1TE2,P77247
5315,1TE6,P09104
5316,1TED,P9WPF1
5317,1TEJ,P0C6B4
5318,1TEL,Q8KBL4
5319,1TEN,P24821
5320,1TEV,P30085
5321,1TEX,A0QQ53
5322,1TF1,P0ACN4
5323,1TF6,P03001
5324,1TF7,Q79PF4
5325,1TFF,Q96DC9
5326,1TFG,P61812
5327,1TFJ,P68265
5328,1TFK,P17998
5329,1TFP,P27731
5330,1TFR,P13319
5331,1TFU,P9WPA5
5332,1TFV,Q7YS85
5333,1TFX,P10646
5334,1TG0,P47068
5335,1TG6,Q16740
5336,1TG7,Q700S9
5337,1TG8,P27914
5338,1TGL,P19515
5339,1TGO,P56689
5340,1TGS,P00998
5341,1TGU,P00432
5342,1TGX,P01468
5343,1TGZ,Q9HC62
5344,1TH8,O32726
5345,1THF,Q9X0C6
5346,1THG,P79066
5347,1THM,P04072
5348,1THQ,P37001
5349,1THR,P26631
5350,1THT,P05521
5351,1THX,P20857
5352,1TIA,P61870
5353,1TIC,P61872
5354,1TIE,P09943
5355,1TIF,P03000
5356,1TII,P43528
5357,1TIK,P41407
5358,1TIQ,P21340
5359,1TIS,P00471
5360,1TIW,P09546
5361,1TIY,O34598
5362,1TJ6,Q66JG9
5363,1TJ7,P11447
5364,1TJC,P13674
5365,1TJH,P04580
5366,1TJL,P0ABS1
5367,1TJN,O29537
5368,1TJT,Q08043
5369,1TJY,Q8ZKQ1
5370,1TK1,P11353
5371,1TK9,Q9PNE6
5372,1TKS,Q5A3V6
5373,1TL2,Q27084
5374,1TLJ,Q9UX16
5375,1TLQ,P54173
5376,1TLT,P75931
5377,1TLU,Q9WZC3
5378,1TLW,P0A927
5379,1TM0,Q8YFD6
5380,1TME,P13899
5381,1TMF,P08544
5382,1TMH,P0A858
5383,1TMK,P00572
5384,1TML,P26222
5385,1TMO,O87948
5386,1TMX,Q5PXQ6
5387,1TMY,Q56312
5388,1TNR,P01374
5389,1TO0,Q45601
5390,1TO3,Q9L7R9
5391,1TO4,Q01137
5392,1TO6,P57098
5393,1TO9,P25052
5394,1TOC,P56409
5395,1TOH,P04177
5396,1TON,P00759
5397,1TOU,P15090
5398,1TP9,A9PCL4
5399,1TPL,P31013
5400,1TPX,P23907
5401,1TPY,Q79FX6
5402,1TPZ,Q9QZ85
5403,1TQ5,P46852
5404,1TQ8,P9WFC9
5405,1TQE,Q99N13
5406,1TQI,O30245
5407,1TQJ,P74061
5408,1TQN,P08684
5409,1TQY,Q02059
5410,1TR7,P08191
5411,1TR8,P0C0K9
5412,1TR9,Q9KU37
5413,1TRJ,P38011
5414,1TRN,P07477
5415,1TS9,O28362
5416,1TSQ,P04591
5417,1TT4,Q8ZR41
5418,1TT5,Q8TBC4
5419,1TT7,O07615
5420,1TT9,O88618
5421,1TTU,V6CLJ5
5422,1TU1,Q9I738
5423,1TU5,Q29437
5424,1TU7,P46427
5425,1TUF,Q58497
5426,1TUK,P82900
5427,1TUL,Q06691
5428,1TUW,P39890
5429,1TV5,Q08210
5430,1TV7,P69848
5431,1TVD,A0JD37
5432,1TVG,Q9Y547
5433,1TVL,O34974
5434,1TVQ,P80226
5435,1TW2,Q06528
5436,1TWD,P67825
5437,1TWL,Q8U438
5438,1TWU,P37479
5439,1TX9,P69486
5440,1TXD,Q9NZN5
5441,1TXF,P22756
5442,1TXG,O29390
5443,1TXJ,P84152
5444,1TXK,P33136
5445,1TXO,P9WHW5
5446,1TXQ,Q14203
5447,1TXU,Q9UJ41
5448,1TXY,P07013
5449,1TY9,Q51793
5450,1TYA,P00952
5451,1TYE,P08514
5452,1TYF,P0A6G7
5453,1TYG,O31618
5454,1TYY,Q8ZKR2
5455,1TZ7,O66937
5456,1TZ9,Q82ZC9
5457,1TZA,Q8EB92
5458,1TZB,Q8ZWV0
5459,1TZD,P17105
5460,1TZF,Q8Z5I4
5461,1TZL,Q8J136
5462,1TZP,P0C0T5
5463,1TZS,P14091
5464,1TZT,Q9X286
5465,1TZZ,Q89FH0
5466,1U00,P0A6Z1
5467,1U02,Q9HIW7
5468,1U04,Q8U3D2
5469,1U05,A0A384KG77
5470,1U08,P77806
5471,1U0E,P06745
5472,1U0L,Q9X242
5473,1U0M,Q9FCA7
5474,1U0R,P9WHV7
5475,1U0U,Q02323
5476,1U12,Q98GN8
5477,1U14,P39432
5478,1U1H,O50008
5479,1U1S,Q9HUM0
5480,1U1Z,Q9HXY7
5481,1U20,Q6TEC1
5482,1U27,P63034
5483,1U2C,Q62165
5484,1U2E,P77044
5485,1U2H,Q15772
5486,1U2J,P13029
5487,1U2P,P9WIA1
5488,1U2W,P20047
5489,1U2X,O59355
5490,1U2Z,Q04089
5491,1U35,O75367
5492,1U3C,Q43125
5493,1U3E,P34081
5494,1U3I,P09792
5495,1U46,Q07912
5496,1U4C,P26449
5497,1U4F,P35561
5498,1U5D,Q86WV1
5499,1U5E,Q3UND0
5500,1U5H,P9WPE1
5501,1U5Q,Q9JLS3
5502,1U5T,Q12483
5503,1U5U,O16025
5504,1U5W,P39411
5505,1U5X,Q9D777
5506,1U60,P77454
5507,1U61,Q81J58
5508,1U6D,Q14145
5509,1U6G,Q86VP6
5510,1U6R,P00563
5511,1U6T,O75368
5512,1U6Z,P0AFL6
5513,1U70,P00375
5514,1U73,Q8AXY1
5515,1U76,Q15054
5516,1U77,P69681
5517,1U79,Q9SCY2
5518,1U7B,P39748
5519,1U7H,Q88H32
5520,1U7K,P03336
5521,1U7L,P31412
5522,1U7N,Q82ZE8
5523,1U7O,Q9D967
5524,1U7U,P0ABQ0
5525,1U83,O06739
5526,1U8F,P04406
5527,1U8V,P55792
5528,1U8W,P39207
5529,1U8X,P54716
5530,1U8Y,P63320
5531,1U9A,P63280
5532,1U9J,P77398
5533,1U9K,Q9JKE2
5534,1U9L,P0AFF6
5535,1U9Y,Q58761
5536,1UA2,P50613
5537,1UA4,Q9V2Z6
5538,1UAA,P09980
5539,1UAD,O54921
5540,1UAJ,P43912
5541,1UAS,Q9FXT4
5542,1UAX,O59351
5543,1UAZ,P69051
5544,1UB2,Q31MN3
5545,1UBC,Q59560
5546,1UBD,P25490
5547,1UC2,O59245
5548,1UC3,P02207
5549,1UC7,P58162
5550,1UC8,Q5SH23
5551,1UCH,P15374
5552,1UCR,Q46582
5553,1UCS,P35751
5554,1UCY,P68108
5555,1UD0,P63018
5556,1UD9,Q975N2
5557,1UDE,O59570
5558,1UDN,O67069
5559,1UDV,Q97ZF4
5560,1UDW,Q9BZX2
5561,1UDX,Q5SHE9
5562,1UDY,P41367
5563,1UE1,P9WGD5
5564,1UE8,Q972I2
5565,1UEB,Q76G20
5566,1UED,Q8RN03
5567,1UEK,P83700
5568,1UF2,P22472
5569,1UF9,Q56416
5570,1UFA,Q5SH28
5571,1UFK,Q84BQ9
5572,1UFR,Q5SK65
5573,1UFV,Q5SHF5
5574,1UG4,P80245
5575,1UGM,Q62625
5576,1UH7,P06026
5577,1UHA,P83790
5578,1UHD,P56065
5579,1UHN,Q8LAS7
5580,1UI0,Q5SKC5
5581,1UIK,P11827
5582,1UIR,Q5SK28
5583,1UIS,Q8ISF8
5584,1UIU,P33590
5585,1UIX,Q28021
5586,1UIZ,Q76BK2
5587,1UJ0,O88811
5588,1UJ4,Q72J47
